Timestamp,Temperature (°C),Precipitation (mm)
2025-02-24T00:00,6.0,0.0
2025-02-24T01:00,5.4,0.0
2025-02-24T02:00,5.4,0.0
2025-02-24T03:00,4.6,0.0
2025-02-24T04:00,4.3,0.0
2025-02-24T05:00,3.8,0.0
2025-02-24T06:00,3.4,0.0
2025-02-24T07:00,2.8,0.0
2025-02-24T08:00,1.7,0.0
2025-02-24T09:00,1.6,0.0
2025-02-24T10:00,0.5,0.0
2025-02-24T11:00,-0.2,0.0
2025-02-24T12:00,-0.3,0.0
2025-02-24T13:00,2.5,0.0
2025-02-24T14:00,5.0,0.0
2025-02-24T15:00,6.6,0.0
2025-02-24T16:00,7.9,0.0
2025-02-24T17:00,9.0,0.0
2025-02-24T18:00,9.1,0.0
2025-02-24T19:00,9.7,0.0
2025-02-24T20:00,9.2,0.0
2025-02-24T21:00,8.5,0.0
2025-02-24T22:00,7.6,0.0
2025-02-24T23:00,5.9,0.0
2025-02-25T00:00,5.3,0.0
2025-02-25T01:00,5.1,0.0
2025-02-25T02:00,5.1,0.0
2025-02-25T03:00,5.3,0.0
2025-02-25T04:00,5.1,0.0
2025-02-25T05:00,4.4,0.0
2025-02-25T06:00,3.9,0.0
2025-02-25T07:00,3.4,0.0
2025-02-25T08:00,3.2,0.0
2025-02-25T09:00,3.0,0.0
2025-02-25T10:00,3.2,0.0
2025-02-25T11:00,3.2,0.0
2025-02-25T12:00,2.9,0.0
2025-02-25T13:00,4.1,0.0
2025-02-25T14:00,4.6,0.0
2025-02-25T15:00,6.9,0.0
2025-02-25T16:00,9.4,0.0
2025-02-25T17:00,11.2,0.0
2025-02-25T18:00,12.3,0.0
2025-02-25T19:00,13.3,0.0
2025-02-25T20:00,13.9,0.0
2025-02-25T21:00,13.8,0.0
2025-02-25T22:00,11.6,0.0
2025-02-25T23:00,10.1,0.0
2025-02-26T00:00,9.2,0.0
2025-02-26T01:00,7.2,0.0
2025-02-26T02:00,6.0,0.0
2025-02-26T03:00,5.2,0.0
2025-02-26T04:00,4.3,0.0
2025-02-26T05:00,3.8,0.0
2025-02-26T06:00,3.4,0.0
2025-02-26T07:00,3.0,0.0
2025-02-26T08:00,2.9,0.0
2025-02-26T09:00,2.5,0.0
2025-02-26T10:00,1.9,0.0
2025-02-26T11:00,2.1,0.0
2025-02-26T12:00,1.8,0.0
2025-02-26T13:00,3.5,0.0
2025-02-26T14:00,4.4,0.0
2025-02-26T15:00,5.2,0.0
2025-02-26T16:00,6.2,0.0
2025-02-26T17:00,7.1,0.0
2025-02-26T18:00,8.0,0.0
2025-02-26T19:00,8.8,0.0
2025-02-26T20:00,9.4,0.0
2025-02-26T21:00,9.5,0.0
2025-02-26T22:00,9.1,0.0
2025-02-26T23:00,8.1,0.0
2025-02-27T00:00,7.4,0.0
2025-02-27T01:00,6.8,0.0
